occurrenceID,rightsHolder,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordedBy,Source,Date,yearMeasurement,Sex,lifeStage,Department,Municipality,ParamoComplex,Locality,Elevation,decimalLatitude,decimalLongitude,Order,Family,Species,Weight,totalCulmen,exposedCulmen,billDepth,billWidth,gape,wingArea,wingLength,distPrimarySecondary,tailLength,tailShape,Tarsus,Hallux,halluxClaw,Wingspan,Weight_Dunning2008
IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1461,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1461,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,12-Jun-15,2015,Undetermined,Not registered,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: El Encano , Vda. Santa Lucia",2810,0.99775,-77.181333,Accipitriformes,Accipitridae,Accipiter striatus,100,18,16.1,8.2,NA,NA,2402.62,172,45,146,NA,48.9,17.8,NA,NA,138.42
IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1287,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1287,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,11-Mar-15,2015,Undetermined,Not registered,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: Santa Barbara, Vda. Los Alisales",3389,0.982361,-77.295139,Apodiformes,Trochilidae,Chalcostigma herrani,5.5,16.3,12.6,1.9,2,4.4,125.3,65,NA,51,NA,6.5,7.8,NA,NA,5.8
IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1473,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1473,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,26-Jun-15,2015,Undetermined,Not registered,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: Buesaquillo, Vda. La Cuchilla",3430,1.271922,-77.246667,Apodiformes,Trochilidae,Chalcostigma herrani,NA,17,12.4,1.8,NA,2.9,121.6,72,33,58,NA,NA,5.8,NA,NA,5.8
IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1480,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1480,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,18-Jul-15,2015,Undetermined,Not registered,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: La Merced, Cerro Morasurco",3280,1.274972,-77.242117,Apodiformes,Trochilidae,Coeligena lutetiae,NA,37.6,31,1.5,2,3.2,125.34,75,47,52,8,4.6,5.9,NA,NA,7.3
IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1478,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1478,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,17-Jul-15,2015,Undetermined,Not registered,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: La Merced, Cerro Morasurco",3280,1.274972,-77.242117,Apodiformes,Trochilidae,Coeligena lutetiae,NA,38,31.3,1.8,2.4,3.7,180.29,75,39,46,11,6.7,5.8,NA,NA,7.3
IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1449,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1449,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,11-Jun-15,2015,Male,Immature,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: El Encano , Vda. Santa Lucia",2810,0.99775,-77.181333,Apodiformes,Trochilidae,Coeligena torquata,7,39.8,NA,1.8,2.4,4.3,155.59,71,41,42,NA,6.6,7.2,NA,NA,6.75
IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1451,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1451,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,11-Jun-15,2015,Undetermined,Not registered,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: El Encano , Vda. Santa Lucia",2810,0.99775,-77.181333,Apodiformes,Trochilidae,Coeligena torquata,7,37.2,32.7,1.9,2.8,4.5,158.47,72,44,44,NA,6,7.3,NA,NA,6.75
IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1359,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1359,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,22-Mar-15,2015,Female,Not registered,Narino,Puerres,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Puerres: Monopamba, Vda. Desmontes Alto",2938,0.832639,-77.352111,Apodiformes,Trochilidae,Coeligena torquata,5.5,31.8,32.2,2.1,2.2,4.7,171.14,73,40,41.4,4,5.5,6.6,NA,NA,6.75
IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1437,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1437,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,10-Jun-15,2015,Male,Not registered,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: El Encano , Vda. Santa Lucia",2810,0.99775,-77.181333,Apodiformes,Trochilidae,Coeligena torquata,7.5,38.3,35.2,1.9,2.4,4.1,158.98,72,52,46,NA,6,6.1,NA,NA,6.75
IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1436,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1436,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,10-Jun-15,2015,Male,Immature,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: El Encano , Vda. Santa Lucia",2810,0.99775,-77.181333,Apodiformes,Trochilidae,Coeligena torquata,6.5,41,34.4,2,3.3,6.2,185.94,74,43,47,NA,6.5,4.1,NA,NA,6.75
